"","V1","V2","V3","V4","V5","V6"
"1","","Mehlich P","Olsen P","Total P","","Ring Test"
"2","Sample","(mg/kg)","(mg/kg)","(mg/kg)","","Rating (1–5)"
"3","O15-1","17.3","6.5","1762","","2"
"4","10G-1","18.3","6.5","1627","","2"
"5","N9-10","18.9","9.4","1496","","3"
"6","10H-1","20.6","4.5","1657","","4"
"7","10D-4","22.0","7.0","1143","","3"
"8","N9-12","23.0","10.0","1103","","4"
"9","N9-8","23.0","17.0","1678","","4"
"10","O17-2","23.1","15.4","1851","","3"
"11","N9-6","23.3","12.8","1894","","4"
"12","10C-3","23.4","9.2","1042","","2"
"13","N6-12","23.4","11.8","2179","","4"
"14","O30-4","24.3","20.9","1887","","4"
"15","N6-1","24.9","13.9","2392","","4"
"16","O22-1","25.6","13.8","1620","","2"
"17","O23-1","26.4","11.4","1620","","2"
"18","N9-7","26.5","14.3","1774","","4"
"19","N2-1","26.8","11.2","2058","","4"
"20","N6-9","27.7","18.8","1998","","5"
"21","N6-13","28.0","15.8","1959","","5"
"22","N6-11","29.7","7.7","1241","","3"
"23","N9-11","29.8","14.7","1443","","4"
"24","O17-1","30.2","18.4","1730","","3"
"25","N6-2","31.0","21.8","1955","","5"
"26","N6-3","31.8","21.0","1991","","5"
"27","N6-6","32.8","28.0","2011","","4"
"28","N6-10","33.9","12.7","1879","","4"
"29","N6-5","35.1","21.5","2291","","5"
"30","10L-1","35.1","21.2","2949","","5"
"31","N8-2","42.7","21.6","2113","","4"
"32","N8-1","46.8","29.3","1933","","4"
"33","N6-4","48.5","44.5","1988","","5"
"34","N8-3","48.8","33.3","1940","","4"
"35","N6-8","52.2","37.4","2354","","5"
"36","10H-2","54.4","32.4","1875","","4"
"37","N6-7*","125.1","65.0","2476","","5"
"38","Mean","33.0","18.9","1854","","3.8"
"39","n","35","35","35","","35"
